Variável,Valor
x2#3#1#30#1#3,0.0
x2#3#1#30#1#4,0.0
Q#1#1#30,0.0
I#1#1#30,0.0
x#1#2#1#5#4,0.0
x#1#2#1#5#3,1000.0000000000002
x#1#2#1#5#2,0.0
x#1#2#1#5#1,-2.2737367544323206e-13
x#1#2#1#4#4,0.0
x#1#2#1#4#3,0.0
x#1#2#1#4#2,0.0
x#1#2#1#4#1,0.0
x#1#2#1#3#4,0.0
x#1#2#1#3#3,0.0
x#1#2#1#3#2,0.0
x#1#2#1#3#1,0.0
x2#3#2#1#1#1,0.0
x2#3#2#1#1#2,0.0
x2#3#2#1#1#3,0.0
x2#3#2#1#1#4,0.0
Q#1#2#1,0.0
I#1#2#0,1000.0
I#1#2#1,0.0
x#1#2#2#4#4,0.0
x#1#2#2#4#3,0.0
x#1#2#2#4#2,0.0
x#1#2#2#4#1,0.0
x#1#2#2#3#4,0.0
x#1#2#2#3#3,0.0
x#1#2#2#3#2,0.0
x#1#2#2#3#1,0.0
x#1#2#2#5#3,0.0
x#1#2#2#5#1,0.0
x#1#2#2#5#4,0.0
x#1#2#2#5#2,0.0
x2#3#2#2#1#1,0.0
x2#3#2#2#1#2,0.0
x2#3#2#2#1#3,0.0
x2#3#2#2#1#4,0.0
Q#1#2#2,0.0
I#1#2#2,0.0
x#1#2#3#3#3,0.0
x#1#2#3#3#2,0.0
x#1#2#3#3#1,0.0
x#1#2#3#5#4,1000.0
x#1#2#3#3#4,0.0
x#1#2#3#4#1,0.0
x#1#2#3#4#2,0.0
x#1#2#3#4#3,0.0
x#1#2#3#4#4,0.0
x#1#2#3#5#1,0.0
x#1#2#3#5#2,0.0
x#1#2#3#5#3,0.0
x2#3#2#3#1#1,0.0
x2#3#2#3#1#2,0.0
x2#3#2#3#1#3,0.0
x2#3#2#3#1#4,0.0
Q#1#2#3,1000.0
I#1#2#3,0.0
x#1#2#4#3#4,0.0
x#1#2#4#4#1,0.0
x#1#2#4#4#2,0.0
x#1#2#4#4#3,0.0
x#1#2#4#4#4,0.0
x#1#2#4#5#1,0.0
x#1#2#4#5#2,0.0
x#1#2#4#5#3,0.0
x#1#2#4#5#4,0.0
x#1#2#4#3#3,0.0
x#1#2#4#3#2,0.0
x#1#2#4#3#1,0.0
x2#3#2#4#1#1,0.0
x2#3#2#4#1#2,0.0
x2#3#2#4#1#3,0.0
x2#3#2#4#1#4,0.0
Q#1#2#4,0.0
I#1#2#4,0.0
x#1#2#5#3#1,0.0
x#1#2#5#5#4,0.0
x#1#2#5#5#3,0.0
x#1#2#5#5#2,0.0
x#1#2#5#5#1,0.0
x#1#2#5#4#4,0.0
x#1#2#5#4#3,0.0
x#1#2#5#4#2,0.0
x#1#2#5#4#1,0.0
x#1#2#5#3#4,0.0
x#1#2#5#3#3,0.0
x#1#2#5#3#2,0.0
x2#3#2#5#1#1,0.0
x2#3#2#5#1#2,0.0
x2#3#2#5#1#3,0.0
x2#3#2#5#1#4,0.0
Q#1#2#5,0.0
I#1#2#5,0.0
x#1#2#6#4#1,0.0
x#1#2#6#5#4,0.0
x#1#2#6#5#3,0.0
x#1#2#6#5#2,0.0
x#1#2#6#5#1,0.0
x#1#2#6#4#4,0.0
x#1#2#6#4#3,0.0
x#1#2#6#3#1,0.0
x#1#2#6#3#2,0.0
x#1#2#6#3#3,0.0
x#1#2#6#3#4,0.0
x#1#2#6#4#2,0.0
x2#3#2#6#1#1,0.0
x2#3#2#6#1#2,0.0
x2#3#2#6#1#3,0.0
x2#3#2#6#1#4,0.0
Q#1#2#6,0.0
I#1#2#6,0.0
x#1#2#7#5#1,0.0
x#1#2#7#5#2,0.0
x#1#2#7#5#3,0.0
x#1#2#7#5#4,0.0
x#1#2#7#4#4,0.0
x#1#2#7#4#3,0.0
x#1#2#7#4#2,0.0
x#1#2#7#4#1,0.0
x#1#2#7#3#4,0.0
x#1#2#7#3#3,0.0
x#1#2#7#3#2,0.0
x#1#2#7#3#1,0.0
x2#3#2#7#1#1,0.0
x2#3#2#7#1#2,0.0
x2#3#2#7#1#3,0.0
x2#3#2#7#1#4,0.0
Q#1#2#7,0.0
I#1#2#7,0.0
x#1#2#8#5#4,0.0
x#1#2#8#5#1,0.0
x#1#2#8#5#2,0.0
x#1#2#8#5#3,0.0
x#1#2#8#4#4,0.0
x#1#2#8#4#3,0.0
x#1#2#8#4#2,0.0
x#1#2#8#4#1,0.0
x#1#2#8#3#4,0.0
x#1#2#8#3#3,0.0
x#1#2#8#3#2,0.0
x#1#2#8#3#1,0.0
x2#3#2#8#1#1,0.0
x2#3#2#8#1#2,0.0
x2#3#2#8#1#3,0.0
x2#3#2#8#1#4,0.0
Q#1#2#8,0.0
I#1#2#8,0.0
x#1#2#9#5#4,0.0
x#1#2#9#5#3,0.0
x#1#2#9#5#2,0.0
x#1#2#9#5#1,0.0
x#1#2#9#4#4,0.0
x#1#2#9#4#3,0.0
x#1#2#9#4#2,0.0
x#1#2#9#4#1,0.0
x#1#2#9#3#4,0.0
x#1#2#9#3#3,0.0
x#1#2#9#3#2,0.0
x#1#2#9#3#1,0.0
x2#3#2#9#1#1,0.0
x2#3#2#9#1#2,0.0
x2#3#2#9#1#3,0.0
x2#3#2#9#1#4,0.0
Q#1#2#9,0.0
I#1#2#9,0.0
x#1#2#10#3#1,0.0
x#1#2#10#3#2,0.0
x#1#2#10#3#3,0.0
x#1#2#10#3#4,0.0
x#1#2#10#4#1,0.0
x#1#2#10#4#2,0.0
x#1#2#10#4#3,0.0
x#1#2#10#4#4,0.0
x#1#2#10#5#4,0.0
x#1#2#10#5#3,0.0
x#1#2#10#5#2,0.0
x#1#2#10#5#1,0.0
x2#3#2#10#1#1,0.0
x2#3#2#10#1#2,0.0
x2#3#2#10#1#3,0.0
x2#3#2#10#1#4,0.0
Q#1#2#10,0.0
I#1#2#10,0.0
